,country,year,life_expectancy
0,Afghanistan,1800,28.21
1,Albania,1800,35.4
2,Algeria,1800,28.82
3,Angola,1800,26.98
4,Antigua and Barbuda,1800,33.54
5,Argentina,1800,33.2
6,Armenia,1800,34.0
7,Aruba,1800,34.42
8,Australia,1800,34.05
9,Austria,1800,34.4
10,Azerbaijan,1800,29.17
11,Bahamas,1800,35.18
12,Bahrain,1800,30.3
13,Bangladesh,1800,25.5
14,Barbados,1800,32.12
15,Belarus,1800,36.2
16,Belgium,1800,40.0
17,Belize,1800,26.5
18,Benin,1800,31.0
19,Bhutan,1800,28.8
20,Bolivia,1800,33.0
21,Bosnia and Herzegovina,1800,35.1
22,Botswana,1800,33.6
23,Brazil,1800,32.0
24,Brunei,1800,29.2
25,Bulgaria,1800,35.8
26,Burkina Faso,1800,29.2
27,Burundi,1800,31.5
28,Cambodia,1800,35.0
29,Cameroon,1800,28.75
30,Canada,1800,39.0
31,Cape Verde,1800,33.8
32,Central African Republic,1800,30.0
33,Chad,1800,30.9
34,Chile,1800,32.0
35,China,1800,32.0
36,Colombia,1800,32.0
37,Comoros,1800,32.1
38,"Congo, Dem. Rep.",1800,31.6
39,"Congo, Rep.",1800,32.7
40,Costa Rica,1800,30.21
41,Cote d'Ivoire,1800,31.16
42,Croatia,1800,36.1
43,Cuba,1800,32.2
44,Cyprus,1800,38.5
45,Czech Republic,1800,34.95
46,Denmark,1800,37.41
47,Djibouti,1800,29.9
48,Dominican Republic,1800,29.9
49,Ecuador,1800,32.9
50,Egypt,1800,33.0
51,El Salvador,1800,28.7
52,Equatorial Guinea,1800,29.8
53,Eritrea,1800,30.2
54,Estonia,1800,36.14
55,Ethiopia,1800,29.7
56,Fiji,1800,26.1
57,Finland,1800,36.57
58,France,1800,33.97
59,French Guiana,1800,30.5
60,French Polynesia,1800,25.6
61,Gabon,1800,30.6
62,Gambia,1800,28.8
63,Georgia,1800,31.87
64,Germany,1800,38.37
65,Ghana,1800,28.0
66,Greece,1800,36.6
67,Greenland,1800,33.87
68,Grenada,1800,31.4
69,Guadeloupe,1800,27.66
70,Guam,1800,27.5
71,Guatemala,1800,25.8
72,Guinea,1800,29.5
73,Guinea-Bissau,1800,32.0
74,Guyana,1800,31.12
75,Haiti,1800,29.0
76,Honduras,1800,33.9
77,"Hong Kong, China",1800,34.9
78,Hungary,1800,36.0
79,Iceland,1800,42.85
80,India,1800,25.44
81,Indonesia,1800,30.0
82,Iran,1800,25.6
83,Iraq,1800,31.2
84,Ireland,1800,38.3
85,Israel,1800,32.0
86,Italy,1800,29.69
87,Jamaica,1800,34.2
88,Japan,1800,36.4
89,Jordan,1800,31.7
90,Kazakhstan,1800,26.2
91,Kenya,1800,25.5
92,Kiribati,1800,24.9
93,North Korea,1800,26.0
94,South Korea,1800,25.8
95,Kuwait,1800,26.0
96,Kyrgyz Republic,1800,23.94
97,Lao,1800,31.9
98,Latvia,1800,33.0
99,Lebanon,1800,29.7
100,Lesotho,1800,32.8
101,Liberia,1800,31.1
102,Libya,1800,33.1
103,Lithuania,1800,28.9
104,Luxembourg,1800,36.9
105,"Macao, China",1800,34.7
106,"Macedonia, FYR",1800,36.1
107,Madagascar,1800,30.5
108,Malawi,1800,30.3
109,Malaysia,1800,30.6
110,Maldives,1800,32.65
111,Mali,1800,26.41
112,Malta,1800,28.7
113,Martinique,1800,30.15
114,Mauritania,1800,32.0
115,Mauritius,1800,28.7
116,Mayotte,1800,32.5
117,Mexico,1800,26.9
118,"Micronesia, Fed. Sts.",1800,26.7
119,Moldova,1800,33.15
120,Mongolia,1800,31.8
121,Montenegro,1800,35.4
122,Morocco,1800,33.1
